Talage Industry;SIC;CNA Industry;Territories
"Animal Specialty Services";"0752";"PET GROOMING";"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY"
"Other Foundation, Structure, and Building Exterior Contractor";"1799";"SWIMMING POOLS-INSTALL/SERVICE/ REPAIR-ABOVE GROUND";"AL, AZ, AR, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NH, NJ, NM, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, UT, VT, VA, WA, WV, WI, WY, CO, NV, TX"
"Electrical Contractor";"1731";"ELECTRICAL WORK-W/IN BUILDINGS";"AL, AZ, AR, CO, CT, DE, DC, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NH, NJ, NM, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, UT, VT, VA, WA, WV, WI, WY"
"Heating and Air-Conditioning Contractor";"1711";"COMB HEAT/AIR DLR/DIST-INCL INSTALL-NO LPG EQPT-RESIDENTIAL";"VT, AL, AZ, AR, CT, DE, DC, GA, ID, IL, IN, IA, KS, KY, ME, MD, MA, MI, MS, MO, MT, NE, NH, NM, NC, ND, OH, OK, PA, RI, SC, SD, TN, UT, VA, WV, WI, WY"
"Other Building Equipment Contractor";"1799";"SWIMMING POOLS-INSTALL/SERVICE/ REPAIR-ABOVE GROUND";"AL, AZ, AR, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NH, NJ, NM, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, UT, VT, VA, WA, WV, WI, WY, CO, NV, TX"
"Painting and Wall Covering Contractor";"1721";"PAINTING-INTERIOR-BUILDINGS/STRUCTURES";"AL, AZ, AR, CO, CT, DE, DC, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NH, NJ, NM, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, UT, VT, VA, WA, WV, WI, WY"
"Other Building Finishing Contractor";"1799";"SWIMMING POOLS-INSTALL/SERVICE/ REPAIR-ABOVE GROUND";"AL, AZ, AR, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NH, NJ, NM, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, UT, VT, VA, WA, WV, WI, WY, CO, NV, TX"
"Other Specialty Trade Contractor";"1799";"SWIMMING POOLS-INSTALL/SERVICE/ REPAIR-ABOVE GROUND";"AL, AZ, AR, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NH, NJ, NM, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, UT, VT, VA, WA, WV, WI, WY, CO, NV, TX"
"Beet Sugar Manufacturing";"2063";"SYRUPS/MOLASSES-REFINING, BLENDING/MFG";"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY"
"Non-chocolate Confectionery Manufacturing";"2064";"CANDY AND FUDGE MANUFACTURING";"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY"
"Confectionery Manufacturing from Purchased Chocolate";"2064";"CANDY AND FUDGE MANUFACTURING";"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY"
"Frozen Fruit, Juice, and Vegetable Manufacturing";"2037";"FROZEN FOOD MFG";"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY"
